lakeID,Date,Time,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,9/25/2024,10:13:42,NA,19.103,9.42,101.8,0.8,-0.24,NA,7.79,NA,90.3,0.04,59,NA,0,0,0,733.4
MHK,9/25/2024,10:14:02,NA,18.945,9.39,101.2,1.04,-0.08,NA,7.74,NA,90.6,0.04,59,NA,41.76786,-74.15561,391.4,733.4
MHK,9/25/2024,10:14:29,NA,18.78,9.43,101.3,1.03,-0.06,NA,7.59,NA,90.6,0.04,59,NA,41.76787,-74.15562,389.5,733.4
MHK,9/25/2024,10:14:57,NA,17.546,9.47,99.2,1.07,-0.13,NA,7.38,NA,92.3,0.04,60,NA,41.76785,-74.15563,396.8,733.5
MHK,9/25/2024,10:15:26,NA,16.969,9.55,98.8,0.91,-0.14,NA,7.22,NA,92,0.04,60,NA,41.76789,-74.15562,395.9,733.4
MHK,9/25/2024,10:15:49,NA,16.101,9.31,94.6,0.97,-0.09,NA,7.1,NA,92.4,0.04,60,NA,41.7679,-74.15556,381.6,733.4
MHK,9/25/2024,10:16:01,NA,15.647,9.24,93,0.97,-0.06,NA,7.05,NA,92.5,0.04,60,NA,41.76791,-74.15554,376.2,733.4
MHK,9/25/2024,10:16:23,NA,14.873,9.04,89.4,0.73,-0.17,NA,6.97,NA,91.8,0.04,60,NA,41.76791,-74.15553,373.8,733.4
MHK,9/25/2024,10:16:51,NA,13.68,8.89,85.7,0.68,-0.16,NA,6.92,NA,91.8,0.04,60,NA,41.76788,-74.15559,381.1,733.4
MHK,9/25/2024,10:17:24,NA,12.82,8.76,82.9,0.57,-0.11,NA,6.88,NA,92.1,0.04,60,NA,41.76786,-74.15561,382.5,733.5
MHK,9/25/2024,10:17:44,NA,12.363,8.63,80.7,0.7,-0.12,NA,6.86,NA,91.8,0.04,60,NA,41.76788,-74.15559,380.1,733.3
MHK,9/25/2024,10:18:05,NA,11.63,8.43,77.6,0.59,-0.12,NA,6.84,NA,91.8,0.04,60,NA,41.76786,-74.15559,380.5,733.3
MHK,9/25/2024,10:18:39,NA,10.565,7.93,71.2,0.55,-0.1,NA,6.8,NA,91.9,0.04,60,NA,41.76786,-74.15558,380.6,733.4
MHK,9/25/2024,10:19:00,NA,10.134,7.63,67.8,0.47,-0.12,NA,6.77,NA,91.9,0.04,60,NA,41.76791,-74.15555,376.8,733.4
MHK,9/25/2024,10:19:22,NA,9.938,7.35,65,0.39,-0.11,NA,6.74,NA,91.7,0.04,60,NA,41.76789,-74.15562,385.2,733.4
MHK,9/25/2024,10:19:47,NA,9.77,6.95,61.3,0.54,0.01,NA,6.72,NA,91.7,0.04,60,NA,41.7679,-74.15558,378.6,733.4
MHK,9/25/2024,10:20:11,NA,9.205,6.5,56.6,0.53,0.1,NA,6.69,NA,92.4,0.04,60,NA,41.76786,-74.15562,386.4,733.4
MHK,9/25/2024,10:20:53,NA,8.734,5.32,45.8,0.37,-0.02,NA,6.63,NA,92.8,0.04,60,NA,41.76784,-74.1556,384.7,733.4
MHK,9/25/2024,10:21:15,NA,8.159,4.31,36.6,0.27,-0.08,NA,6.59,NA,93.8,0.04,61,NA,41.76783,-74.15565,389.6,733.3
MHK,9/25/2024,10:21:40,NA,7.6,3.44,28.8,0.22,-0.13,NA,6.56,NA,93.7,0.04,61,NA,41.76788,-74.15567,390.5,733.3
MHK,9/25/2024,10:22:04,NA,7.327,2.82,23.4,0.25,-0.07,NA,6.53,NA,94.1,0.04,61,NA,41.76787,-74.15564,388.2,733.4
MHK,9/25/2024,10:22:35,NA,7.157,2.1,17.4,0.24,-0.04,NA,6.5,NA,94.2,0.04,61,NA,41.7679,-74.15568,388.9,733.4
MHK,9/25/2024,10:22:58,NA,7.035,1.47,12.1,0.64,0.18,NA,6.48,NA,94.9,0.04,62,NA,41.76793,-74.15563,380.8,733.4
MHK,9/25/2024,10:23:37,NA,6.698,0.77,6.3,0.06,-0.1,NA,6.47,NA,96.5,0.05,63,NA,41.76789,-74.15563,377.3,733.4
MHK,9/25/2024,10:24:04,NA,6.534,0.57,4.7,0.08,-0.04,NA,6.46,NA,98.7,0.05,64,NA,41.76791,-74.1556,373.1,733.4
MHK,9/25/2024,10:24:31,NA,6.42,0.47,3.9,0.12,-0.02,NA,6.47,NA,100.9,0.05,66,NA,41.76792,-74.15559,370.7,733.5
MHK,9/25/2024,10:24:54,NA,6.394,0.43,3.5,0.1,-0.03,NA,6.49,NA,101.4,0.05,66,NA,41.76792,-74.15565,374.2,733.4
MHK,9/25/2024,10:25:19,NA,6.318,0.39,3.1,0.12,0.01,NA,6.51,NA,102.6,0.05,67,NA,41.7679,-74.1556,379.1,733.5
MHK,9/25/2024,10:25:43,NA,6.214,0.36,2.9,1.03,1.9,NA,6.52,NA,104.6,0.05,68,NA,41.7679,-74.15556,379.4,733.4
