sample_no,site_no,Depth_m,collect_date,collect_time,leaf,season,ice,temp_C_Hanna,cond_uScm_Hanna,TDS_hanna,pH_Hanna,SecchiDepth_m,DOC_fluor,Turbidity_fluor,Temp_C_DOProbe,DO_mgpL,DO_Sat_Percent,Depth_at_Slab,IceThickness_cm,IceCover_percent,Comment,
1,MOHK_D10,0,2025-01-02,16:21,no,winter,no,3.5,90,54,7.33,6.5,,,4.3,10.26,82.9,,0,0%,HB,
1,MOHK_D10,1,2025-01-02,16:21,no,winter,no,3.7,115,68,8.18,,,,4.1,10.2,82,,,,,
1,MOHK_D10,2,2025-01-02,16:21,no,winter,no,,,,,,,,3.9,10.24,81.9,,,,,
1,MOHK_D10,3,2025-01-02,16:21,no,winter,no,,,,,,,,3.8,10.28,81.9,,,,,
1,MOHK_D10,4,2025-01-02,16:21,no,winter,no,,,,,,,,3.7,10.31,81.9,,,,,
1,MOHK_D10,5,2025-01-02,16:21,no,winter,no,,,,,,,,3.7,10.32,81.9,,,,,
1,MOHK_D10,6,2025-01-02,16:21,no,winter,no,,,,,,,,3.6,10.31,81.8,,,,,
1,MOHK_D10,7,2025-01-02,16:21,no,winter,no,,,,,,,,3.6,10.31,81.7,,,,,
1,MOHK_D10,8,2025-01-02,16:21,no,winter,no,,,,,,,,3.6,10.3,81.7,,,,,
1,MOHK_D10,9,2025-01-02,16:21,no,winter,no,,,,,,,,3.6,10.31,81.6,,,,,
1,MOHK_D10,10,2025-01-02,16:21,no,winter,no,,,,,,,,3.6,10.29,81.4,,,,,
1,MOHK_D10,11,2025-01-02,16:21,no,winter,no,,,,,,,,3.6,10.28,81.4,,,,,
1,MOHK_D10,12,2025-01-02,16:21,no,winter,no,,,,,,,,3.5,10.25,81.1,,,,,
2,MOHK_D10,0,2025-01-15,11:30,no,winter,yes,0.3,112,70,8,NA,,,0.6,12.2,88.3,,9,100%,HB,
2,MOHK_D10,1,2025-01-15,11:30,no,winter,yes,2,128,77,8.62,,,,1.4,12.04,89.2,,,,,
2,MOHK_D10,2,2025-01-15,11:30,no,winter,yes,,,,,,,,1.4,11.93,88.4,,,,,
2,MOHK_D10,3,2025-01-15,11:30,no,winter,yes,,,,,,,,1.4,11.9,88.3,,,,,
2,MOHK_D10,4,2025-01-15,11:30,no,winter,yes,,,,,,,,1.5,11.8,87.5,,,,,
2,MOHK_D10,5,2025-01-15,11:30,no,winter,yes,,,,,,,,1.5,11.64,86.4,,,,,
2,MOHK_D10,6,2025-01-15,11:30,no,winter,yes,,,,,,,,1.5,11.64,86.4,,,,,
2,MOHK_D10,7,2025-01-15,11:30,no,winter,yes,,,,,,,,11.6,11.38,84.7,,,,,
2,MOHK_D10,8,2025-01-15,11:30,no,winter,yes,,,,,,,,1.8,11.13,83.3,,,,,
2,MOHK_D10,9,2025-01-15,11:30,no,winter,yes,,,,,,,,2.2,10.62,80.5,,,,,
2,MOHK_D10,10,2025-01-15,11:30,no,winter,yes,,,,,,,,2.7,10.11,77.7,,,,,
2,MOHK_D10,11,2025-01-15,11:30,no,winter,yes,,,,,,,,3,9.7,75.1,,,,,
2,MOHK_D10,12,2025-01-15,11:30,no,winter,yes,,,,,,,,3.2,9.15,71.1,,,,,
3,MOHK_D10,0,2025-01-22,10:30,no,winter,yes,N/A,N/A,N/A,N/A,NA,,,0,15.85,111.5,,15,100%,SMD,
3,MOHK_D10,1,2025-01-22,10:30,no,winter,yes,1.1,139,76,8.18,,,,1.5,12.17,89.1,,,,,
3,MOHK_D10,2,2025-01-22,10:30,no,winter,yes,,,,,,,,1.6,12.09,88.7,,,,,
3,MOHK_D10,3,2025-01-22,10:30,no,winter,yes,,,,,,,,1.6,12.05,88.5,,,,,
3,MOHK_D10,4,2025-01-22,10:30,no,winter,yes,,,,,,,,1.6,11.96,87.9,,,,,
3,MOHK_D10,5,2025-01-22,10:30,no,winter,yes,,,,,,,,1.6,11.74,86.3,,,,,
3,MOHK_D10,6,2025-01-22,10:30,no,winter,yes,,,,,,,,1.7,11.73,86.4,,,,,
3,MOHK_D10,7,2025-01-22,10:30,no,winter,yes,,,,,,,,1.8,11.56,85.4,,,,,
3,MOHK_D10,8,2025-01-22,10:30,no,winter,yes,,,,,,,,1.9,11.45,84.7,,,,,
3,MOHK_D10,9,2025-01-22,10:30,no,winter,yes,,,,,,,,2.2,10.59,79.1,,,,,
3,MOHK_D10,10,2025-01-22,10:30,no,winter,yes,,,,,,,,2.7,10.12,76.6,,,,,
3,MOHK_D10,11,2025-01-22,10:30,no,winter,yes,,,,,,,,3,9.62,73.4,,,,,
3,MOHK_D10,12,2025-01-22,10:30,no,winter,yes,,,,,,,,3.2,8.87,68.1,,,,,
4,MOHK_D10,0,2025-01-29,10:30,no,winter,yes,0.5,101,65,7.14,N/A,,,1,12.78,96.1,,18,100%,SW - Measured ice thickness off end of dock,
4,MOHK_D10,1,2025-01-29,10:30,no,winter,yes,2.6,130,79,7.61,,,,1.9,12.25,94.2,,,,,
4,MOHK_D10,2,2025-01-29,10:30,no,winter,yes,,,,,,,,1.9,11.91,91.8,,,,,
4,MOHK_D10,3,2025-01-29,10:30,no,winter,yes,,,,,,,,1.8,11.9,91.5,,,,,
4,MOHK_D10,4,2025-01-29,10:30,no,winter,yes,,,,,,,,1.9,11.7,90,,,,,
4,MOHK_D10,5,2025-01-29,10:30,no,winter,yes,,,,,,,,1.8,11.71,90,,,,,
4,MOHK_D10,6,2025-01-29,10:30,no,winter,yes,,,,,,,,1.9,11.58,89.1,,,,,
4,MOHK_D10,7,2025-01-29,10:30,no,winter,yes,,,,,,,,1.9,11.24,86.6,,,,,
4,MOHK_D10,8,2025-01-29,10:30,no,winter,yes,,,,,,,,2,10.91,84.3,,,,,
4,MOHK_D10,9,2025-01-29,10:30,no,winter,yes,,,,,,,,2.4,10.2,79.6,,,,,
