sample_no,Depth_m,collect_date,Temp_C_DOProbe,DO_mgpL,DO_Sat_Percent
1,0,2024-01-03 00:00:00 UTC,3.4,11.21,88
1,1,2024-01-03 00:00:00 UTC,3.9,10.93,86.9
1,2,2024-01-03 00:00:00 UTC,3.8,10.9,86.4
1,3,2024-01-03 00:00:00 UTC,3.8,10.85,86.1
1,4,2024-01-03 00:00:00 UTC,3.8,10.84,86
1,5,2024-01-03 00:00:00 UTC,3.8,10.82,85.9
1,6,2024-01-03 00:00:00 UTC,3.8,10.79,85.6
1,7,2024-01-03 00:00:00 UTC,3.8,10.83,85.9
1,8,2024-01-03 00:00:00 UTC,3.8,10.82,85.8
1,9,2024-01-03 00:00:00 UTC,3.8,10.76,85.3
1,10,2024-01-03 00:00:00 UTC,3.8,10.66,84.6
1,11,2024-01-03 00:00:00 UTC,3.8,10.61,84.3
1,12,2024-01-03 00:00:00 UTC,3.9,10.41,83.3
2,0,2024-01-10 00:00:00 UTC,5.2,10.03,84.8
2,1,2024-01-10 00:00:00 UTC,3.9,10.47,85.5
2,2,2024-01-10 00:00:00 UTC,3.7,10.52,85.4
2,3,2024-01-10 00:00:00 UTC,3.6,10.54,85.3
2,4,2024-01-10 00:00:00 UTC,3.4,10.53,85.2
2,5,2024-01-10 00:00:00 UTC,3.6,10.42,84.4
2,6,2024-01-10 00:00:00 UTC,3.7,10.31,83.7
2,7,2024-01-10 00:00:00 UTC,3.7,10.21,83
2,8,2024-01-10 00:00:00 UTC,3.8,10.17,82.7
2,9,2024-01-10 00:00:00 UTC,3.8,10.11,82.3
2,10,2024-01-10 00:00:00 UTC,3.8,10.06,81.9
2,11,2024-01-10 00:00:00 UTC,3.8,9.92,80.8
2,12,2024-01-10 00:00:00 UTC,3.7,9.97,80.9
3,0,2024-01-17 00:00:00 UTC,0.6,12.1,88.2
3,1,2024-01-17 00:00:00 UTC,1.7,11.84,89
3,2,2024-01-17 00:00:00 UTC,2,11.68,88.4
3,3,2024-01-17 00:00:00 UTC,2.2,11.55,88.1
3,4,2024-01-17 00:00:00 UTC,2.4,11.5,88
