sample_no,Depth_m,collect_date,Temp_C_DOProbe,DO_mgpL,DO_Sat_Percent
10,0,03/12/2025,2.1,11.4,86.4
10,1,03/12/2025,3.3,11.79,92.3
10,2,03/12/2025,3.4,11.87,93.1
10,3,03/12/2025,3.4,11.88,93.1
10,4,03/12/2025,3.4,11.84,92.8
10,5,03/12/2025,3.4,11.79,92.4
10,6,03/12/2025,3.4,11.74,92
10,7,03/12/2025,3.4,11.79,92.5
10,8,03/12/2025,3.4,11.84,92.8
10,9,03/12/2025,3.4,11.84,92.8
10,10,03/12/2025,3.4,11.78,92.4
10,11,03/12/2025,3.4,11.76,92.2
10,12,03/12/2025,3.4,11.51,90.3
