Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,pH,latitude,longitude,altitude_m,date
12/22/2025,10:26:00,Mohonk,1.33,12.27,87.1,0.21,0.71,100.2,0.05,65,738.6,MHK,0,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:26:25,Mohonk,1.372,12.03,85.5,0.18,0.74,99.9,0.05,65,738.6,MHK,0.25,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:26:58,Mohonk,1.478,11.79,84.1,0.27,0.8,99.8,0.05,65,738.7,MHK,0.5,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:27:24,Mohonk,1.507,11.65,83.1,0.23,0.8,99.9,0.05,65,738.6,MHK,0.75,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:27:46,Mohonk,1.539,11.55,82.5,0.26,0.79,99.9,0.05,65,738.6,MHK,1,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:28:14,Mohonk,1.569,11.47,82,0.29,0.83,99.9,0.05,65,738.5,MHK,1.25,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:28:37,Mohonk,1.664,11.4,81.7,0.36,0.88,99.7,0.05,65,738.5,MHK,1.5,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:29:04,Mohonk,1.949,11.28,81.5,0.45,0.89,99.6,0.05,65,738.4,MHK,1.75,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:29:36,Mohonk,2.104,11.11,80.6,0.33,0.87,99.7,0.05,65,738.4,MHK,2,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:29:58,Mohonk,2.14,11.03,80.1,0.4,0.85,99.7,0.05,65,738.7,MHK,2.25,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:30:28,Mohonk,2.176,10.94,79.5,0.28,0.85,99.7,0.05,65,738.5,MHK,2.5,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:30:59,Mohonk,2.186,10.87,79,0.32,0.83,99.7,0.05,65,738.6,MHK,2.75,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:31:34,Mohonk,2.212,10.8,78.6,0.47,0.89,99.8,0.05,65,738.5,MHK,3,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:31:56,Mohonk,2.254,10.77,78.4,0.52,0.84,99.8,0.05,65,738.6,MHK,3.25,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:32:21,Mohonk,2.266,10.73,78.2,0.31,0.79,99.8,0.05,65,738.6,MHK,3.5,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:32:41,Mohonk,2.269,10.71,78,0.31,0.82,99.9,0.05,65,738.6,MHK,3.75,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:33:12,Mohonk,2.271,10.68,77.8,0.32,0.78,99.9,0.05,65,738.6,MHK,4,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:33:43,Mohonk,2.27,10.67,77.7,0.29,0.79,99.9,0.05,65,738.6,MHK,4.25,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:34:18,Mohonk,2.273,10.64,77.5,0.25,0.79,99.9,0.05,65,738.5,MHK,4.5,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:34:41,Mohonk,2.274,10.63,77.4,0.33,0.77,99.9,0.05,65,738.5,MHK,4.75,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:35:06,Mohonk,2.276,10.61,77.3,0.21,0.76,100,0.05,65,738.4,MHK,5,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:35:34,Mohonk,2.282,10.6,77.2,0.43,0.81,99.9,0.05,65,738.5,MHK,5.25,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:35:57,Mohonk,2.296,10.58,77.1,0.36,0.81,100,0.05,65,738.4,MHK,5.5,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:36:24,Mohonk,2.308,10.56,77,0.3,0.81,100,0.05,65,738.4,MHK,5.75,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:36:50,Mohonk,2.318,10.54,76.9,0.29,0.81,99.9,0.05,65,738.5,MHK,6,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:37:13,Mohonk,2.32,10.53,76.8,0.39,0.81,99.9,0.05,65,738.5,MHK,6.25,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:37:36,Mohonk,2.333,10.51,76.7,0.28,0.77,100,0.05,65,738.5,MHK,6.5,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:37:59,Mohonk,2.348,10.5,76.7,0.24,0.77,100,0.05,65,738.4,MHK,6.75,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:38:22,Mohonk,2.358,10.48,76.6,0.28,0.78,100,0.05,65,738.4,MHK,7,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:38:46,Mohonk,2.376,10.47,76.5,0.3,0.78,100.1,0.05,65,738.4,MHK,7.25,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:39:10,Mohonk,2.381,10.46,76.4,0.3,0.81,100.1,0.05,65,738.4,MHK,7.5,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:39:33,Mohonk,2.382,10.44,76.3,0.31,0.77,100,0.05,65,738.4,MHK,7.75,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:40:01,Mohonk,2.392,10.42,76.2,0.27,0.79,100.1,0.05,65,738.4,MHK,8,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:40:25,Mohonk,2.408,10.41,76.1,0.27,0.76,100.1,0.05,65,738.4,MHK,8.25,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:41:06,Mohonk,2.414,10.38,75.9,0.28,0.79,100,0.05,65,738.5,MHK,8.5,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:41:30,Mohonk,2.426,10.37,75.8,0.3,0.79,100.1,0.05,65,738.5,MHK,8.75,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:41:55,Mohonk,2.441,10.35,75.8,0.3,0.73,100.1,0.05,65,738.4,MHK,9,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:42:03,Mohonk,2.444,10.34,75.7,0.31,0.77,100.1,0.05,65,738.4,MHK,9.25,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:42:32,Mohonk,2.451,10.33,75.6,0.25,0.75,100.1,0.05,65,738.4,MHK,9.5,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:43:13,Mohonk,2.509,10.3,75.5,0.29,0.76,100.1,0.05,65,738.4,MHK,9.75,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:43:47,Mohonk,2.538,10.27,75.3,0.24,0.79,100.2,0.05,65,738.4,MHK,10,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:44:12,Mohonk,2.548,10.24,75.2,0.4,0.82,100.1,0.05,65,738.4,MHK,10.25,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:44:38,Mohonk,2.558,10.22,75,0.2,0.78,100.2,0.05,65,738.4,MHK,10.5,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:45:02,Mohonk,2.563,10.2,74.9,0.21,0.73,100.3,0.05,65,738.3,MHK,10.75,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:45:29,Mohonk,2.566,10.18,74.8,0.31,0.78,100.3,0.05,65,738.4,MHK,11,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:45:55,Mohonk,2.662,10.13,74.5,0.23,0.76,100.2,0.05,65,738.3,MHK,11.25,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
12/22/2025,10:46:19,Mohonk,2.824,9.88,73.1,0.23,2.04,101,0.05,66,738.3,MHK,11.5,NA,NA,NA,NA,41.766,-74.158,379,2025-12-22
