Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m,date
12/17/2025,11:42:47,Mohonk,2.209,11.46,83.3,0.12,0.52,101.7,0.05,66,723.1,MHK,0,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:43:18,Mohonk,2.179,11.26,81.8,0.15,0.56,100.9,0.05,66,723.1,MHK,0.25,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:43:43,Mohonk,2.159,11.13,80.8,0.14,0.64,100.7,0.05,65,723,MHK,0.5,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:44:07,Mohonk,2.158,11.03,80.1,0.14,0.72,100.7,0.05,65,723,MHK,0.75,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:44:32,Mohonk,2.159,10.96,79.6,0.15,0.72,100.6,0.05,65,723,MHK,1,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:45:08,Mohonk,2.168,10.88,79,0.23,0.76,100.6,0.05,65,723,MHK,1.25,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:45:32,Mohonk,2.177,10.83,78.7,0.23,0.8,100.6,0.05,65,723.1,MHK,1.5,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:45:59,Mohonk,2.177,10.79,78.4,0.24,0.79,100.7,0.05,65,723.1,MHK,1.75,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:46:24,Mohonk,2.176,10.76,78.2,0.45,0.87,100.6,0.05,65,723.1,MHK,2,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:46:53,Mohonk,2.178,10.74,78.1,0.29,0.83,100.6,0.05,65,723.1,MHK,2.25,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:47:24,Mohonk,2.179,10.72,77.9,0.33,0.84,100.7,0.05,65,723.1,MHK,2.5,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:47:53,Mohonk,2.187,10.7,77.8,0.36,0.86,100.7,0.05,65,723.1,MHK,2.75,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:49:02,Mohonk,2.208,10.65,77.5,0.32,0.82,100.7,0.05,65,723,MHK,3,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:49:26,Mohonk,2.223,10.63,77.3,0.31,0.87,100.6,0.05,65,723.1,MHK,3.25,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:49:55,Mohonk,2.27,10.59,77.2,0.39,0.87,100.5,0.05,65,723.1,MHK,3.5,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:50:33,Mohonk,2.291,10.55,76.9,0.32,0.82,100.5,0.05,65,723.1,MHK,3.75,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:50:58,Mohonk,2.336,10.52,76.8,0.29,0.83,100.6,0.05,65,723.1,MHK,4,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:51:30,Mohonk,2.378,10.48,76.6,0.29,0.86,100.5,0.05,65,723.1,MHK,4.25,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:51:58,Mohonk,2.416,10.44,76.4,0.29,0.82,100.5,0.05,65,723.1,MHK,4.5,NA,NA,NA,41.766,-74.158,379,2025-12-17
12/17/2025,11:52:24,Mohonk,2.511,10.41,76.3,0.28,0.8,100.2,0.05,65,723.1,MHK,4.75,NA,NA,NA,41.766,-74.158,379,2025-12-17
