TIME,DATE,FILE NAME,SITE NAME,FAULT CODE,PHYCOCYANIN (RFU)-14C102008,BAROMETER (MMHG)-24C102759,CHLOROPHYLL (RFU)-14C102008,COND (µS/CM)-15F102368,SP COND (µS/CM)-15F102368,TDS (MG/L)-15F102368,SAL (PSU)-15F102368,NLFCOND (µS/CM)-15F102368,DO (% SAT)-13C101369,DO (MG/L)-13C101369,DO (% CB)-13C101369,GPS LATITUDE (°)-24C102759,GPS LONGITUDE (°)-24C102759,ALTITUDE (M)-24C102759,CABLE POWER (VOLT)-24C102759,BATTERY POWER (VOLT)-24C102759,TEMP (°C)-15F102368,
11:03:01 AM,8/5/2026,260805-110259-Mohonk.bin,Mohonk,0,1.02,733.4,0.58,72.6,112.9,73,0.05,114.7,5.7,0.71,5.8,41.76791,-74.15556,381.0,11.9,2.00,6.318,
11:02:37 AM,8/5/2026,260805-110234-Mohonk.bin,Mohonk,0,0.52,733.4,0.14,71.5,111.1,72,0.05,112.9,6.8,0.84,6.9,41.76802,-74.15563,392.0,11.9,2.00,6.370,
11:02:11 AM,8/5/2026,260805-110209-Mohonk.bin,Mohonk,0,0.55,733.4,0.18,70.6,109.3,71,0.05,111.1,8.9,1.09,9.0,41.76795,-74.15565,399.9,11.9,2.00,6.455,
11:01:35 AM,8/5/2026,260805-110132-Mohonk.bin,Mohonk,0,0.54,733.4,0.26,70.0,107.6,70,0.05,109.4,14.6,1.78,14.9,41.76799,-74.15571,420.2,11.9,2.00,6.715,
11:01:08 AM,8/5/2026,260805-110106-Mohonk.bin,Mohonk,0,0.56,733.4,0.27,69.8,107.1,70,0.05,108.8,21.6,2.63,22.0,41.76786,-74.15556,378.6,11.9,2.00,6.775,
11:00:59 AM,8/5/2026,260805-110056-Mohonk.bin,Mohonk,0,0.53,733.5,0.33,69.6,106.5,69,0.05,108.3,24.2,2.94,24.6,41.76788,-74.15558,378.6,11.9,2.00,6.852,
11:00:34 AM,8/5/2026,260805-110031-Mohonk.bin,Mohonk,0,0.54,733.4,0.41,69.2,105.5,69,0.05,107.2,31.9,3.87,32.5,41.76789,-74.15557,381.5,11.9,2.00,7.015,
11:00:07 AM,8/5/2026,260805-110004-Mohonk.bin,Mohonk,0,0.59,733.5,0.43,69.3,104.4,68,0.05,106.2,39.8,4.79,40.7,41.76791,-74.15556,382.0,12.0,2.00,7.375,
10:59:43 AM,8/5/2026,260805-105940-Mohonk.bin,Mohonk,0,0.60,733.4,0.60,69.4,104.3,68,0.05,106.0,45.1,5.41,46.1,41.76793,-74.15554,383.6,11.9,2.00,7.522,
10:59:18 AM,8/5/2026,260805-105915-Mohonk.bin,Mohonk,0,0.61,733.4,0.60,69.6,104.0,68,0.05,105.8,50.9,6.08,52.0,41.76793,-74.15557,382.4,11.9,2.00,7.658,
10:58:47 AM,8/5/2026,260805-105845-Mohonk.bin,Mohonk,0,0.65,733.3,0.60,69.9,103.6,67,0.05,105.4,57.6,6.82,58.7,41.76787,-74.15559,379.4,11.9,2.00,7.943,
10:58:23 AM,8/5/2026,260805-105820-Mohonk.bin,Mohonk,0,0.60,733.4,0.65,70.2,103.2,67,0.05,105.0,64.6,7.60,65.9,41.76789,-74.15556,381.9,11.9,2.00,8.247,
10:57:58 AM,8/5/2026,260805-105755-Mohonk.bin,Mohonk,0,0.66,733.4,0.93,70.7,102.9,67,0.05,104.7,72.5,8.46,73.9,41.76789,-74.15557,386.8,11.9,2.00,8.597,
10:57:25 AM,8/5/2026,260805-105723-Mohonk.bin,Mohonk,0,0.57,733.4,0.82,71.5,103.2,67,0.05,105.0,82.0,9.50,83.7,41.76793,-74.15557,395.4,11.9,2.00,8.920,
10:56:59 AM,8/5/2026,260805-105656-Mohonk.bin,Mohonk,0,0.56,733.3,0.86,72.1,102.4,67,0.05,104.3,89.4,10.21,91.2,41.76791,-74.15559,394.5,11.9,2.00,9.501,
10:56:31 AM,8/5/2026,260805-105628-Mohonk.bin,Mohonk,0,0.55,733.4,0.90,72.9,102.3,67,0.05,104.1,95.4,10.78,97.4,41.76791,-74.15559,395.2,11.9,2.00,9.959,
10:56:07 AM,8/5/2026,260805-105604-Mohonk.bin,Mohonk,0,0.47,733.4,0.82,73.8,102.1,66,0.05,104.0,99.1,11.06,101.1,41.76786,-74.15566,395.9,11.9,2.00,10.460,
10:55:38 AM,8/5/2026,260805-105536-Mohonk.bin,Mohonk,0,0.38,733.4,0.60,74.5,102.6,67,0.05,104.5,103.7,11.52,105.8,41.76795,-74.15558,397.0,11.9,2.00,10.657,
10:55:08 AM,8/5/2026,260805-105505-Mohonk.bin,Mohonk,0,0.33,733.4,0.63,76.1,102.6,67,0.05,104.4,107.3,11.70,109.4,41.76796,-74.15559,398.5,11.9,2.00,11.458,
10:54:45 AM,8/5/2026,260805-105442-Mohonk.bin,Mohonk,0,0.24,733.3,0.49,77.2,102.9,67,0.05,104.7,110.3,11.91,112.5,41.76795,-74.15557,393.8,11.9,2.00,11.905,
10:54:17 AM,8/5/2026,260805-105414-Mohonk.bin,Mohonk,0,0.15,733.3,0.43,79.0,103.5,67,0.05,105.3,114.2,12.14,116.5,41.76795,-74.15558,396.4,11.9,2.00,12.592,
10:53:51 AM,8/5/2026,260805-105348-Mohonk.bin,Mohonk,0,0.04,733.4,0.35,81.1,104.8,68,0.05,106.5,116.5,12.22,118.9,41.76794,-74.15557,394.7,11.9,2.00,13.193,
10:53:23 AM,8/5/2026,260805-105320-Mohonk.bin,Mohonk,0,-0.01,733.3,0.31,84.2,105.1,68,0.05,106.7,118.0,12.00,120.4,41.76793,-74.15558,391.9,11.9,2.00,14.588,
10:52:54 AM,8/5/2026,260805-105252-Mohonk.bin,Mohonk,0,-0.11,733.3,0.26,86.7,105.0,68,0.05,106.5,119.4,11.81,121.8,41.76788,-74.15557,389.0,11.9,2.00,15.861,
10:52:28 AM,8/5/2026,260805-105225-Mohonk.bin,Mohonk,0,-0.11,733.3,0.24,89.3,105.1,68,0.05,106.4,123.1,11.86,125.5,41.76792,-74.15557,393.1,12.0,2.00,17.130,
10:52:00 AM,8/5/2026,260805-105158-Mohonk.bin,Mohonk,0,-0.20,733.4,0.22,91.1,105.0,68,0.05,106.2,121.1,11.44,123.5,41.76791,-74.15565,401.7,11.9,2.00,18.077,
10:51:33 AM,8/5/2026,260805-105130-Mohonk.bin,Mohonk,0,-0.23,733.4,0.27,93.9,105.3,68,0.05,106.3,115.4,10.63,117.7,41.76799,-74.15571,407.7,12.0,2.00,19.332,
10:51:10 AM,8/5/2026,260805-105108-Mohonk.bin,Mohonk,0,-0.24,733.3,0.30,95.7,105.5,69,0.05,106.4,111.1,10.08,113.4,41.76789,-74.15560,383.8,11.9,2.00,20.124,
10:50:40 AM,8/5/2026,260805-105038-Mohonk.bin,Mohonk,0,-0.28,733.3,0.33,97.1,105.7,69,0.05,106.5,104.9,9.40,107.1,41.76784,-74.15556,375.5,12.0,2.00,20.743,
10:50:05 AM,8/5/2026,260805-105002-Mohonk.bin,Mohonk,0,-0.34,733.3,0.33,98.5,104.8,68,0.05,105.5,96.1,8.43,98.0,41.76788,-74.15556,378.7,12.0,2.00,21.817,
10:49:32 AM,8/5/2026,260805-104929-Mohonk.bin,Mohonk,0,-0.28,733.3,0.36,98.7,103.2,67,0.05,103.6,94.4,8.14,96.3,41.76788,-74.15559,385.9,11.9,2.00,22.747,
10:49:04 AM,8/5/2026,260805-104902-Mohonk.bin,Mohonk,0,-0.37,733.4,0.32,99.1,102.9,67,0.05,103.3,95.5,8.18,97.4,41.76785,-74.15561,383.8,11.9,2.00,23.064,
10:48:40 AM,8/5/2026,260805-104837-Mohonk.bin,Mohonk,0,-0.37,733.3,0.34,99.6,102.8,67,0.05,103.1,96.5,8.22,98.4,41.76786,-74.15561,387.3,11.9,2.00,23.351,
10:48:12 AM,8/5/2026,260805-104809-Mohonk.bin,Mohonk,0,-0.46,733.3,0.23,98.7,101.3,66,0.05,101.5,98.6,8.35,100.6,41.76787,-74.15556,383.3,11.9,2.00,23.655,
10:47:46 AM,8/5/2026,260805-104743-Mohonk.bin,Mohonk,0,-0.44,733.3,0.25,98.1,100.5,65,0.05,100.8,99.6,8.42,101.6,41.76784,-74.15553,367.2,12.0,2.00,23.756,
10:47:14 AM,8/5/2026,260805-104712-Mohonk.bin,Mohonk,0,-0.41,733.3,0.28,98.2,100.5,65,0.05,100.8,99.9,8.44,101.9,41.76786,-74.15552,366.5,11.9,2.00,23.790,
10:46:48 AM,8/5/2026,260805-104645-Mohonk.bin,Mohonk,0,-0.48,733.3,0.21,98.3,100.5,65,0.05,100.7,100.3,8.47,102.4,41.76785,-74.15552,360.6,11.9,2.00,23.832,
10:46:14 AM,8/5/2026,260805-104612-Mohonk.bin,Mohonk,0,-0.45,733.3,0.22,98.5,100.6,65,0.05,100.8,100.6,8.49,102.6,41.76780,-74.15553,354.8,12.0,2.00,23.881,
10:45:49 AM,8/5/2026,260805-104546-Mohonk.bin,Mohonk,0,-0.49,733.3,0.19,98.6,100.7,65,0.05,100.9,100.8,8.49,102.8,41.76786,-74.15553,368.5,12.0,2.00,23.949,
10:45:22 AM,8/5/2026,260805-104520-Mohonk.bin,Mohonk,0,-0.51,733.3,0.17,98.8,100.7,65,0.05,100.9,100.8,8.48,102.8,41.76785,-74.15556,365.8,12.0,1.99,24.010,
10:44:56 AM,8/5/2026,260805-104453-Mohonk.bin,Mohonk,0,-0.50,733.3,0.18,99.2,101.0,66,0.05,101.2,100.4,8.44,102.4,0.00000,0.00000,0.0,11.9,1.99,24.062,
