lakeID,Date,Time,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,1/29/2025,10:23:02,NA,2.774,10.69,79,0.49,0.19,NA,NA,NA,95.2,0.04,62,NA,41.76789,-74.15548,386.5,712.7
MHK,1/29/2025,10:23:23,NA,2.877,10.61,78.5,0.55,0.17,NA,NA,NA,95.1,0.04,62,NA,41.76787,-74.15556,385.2,712.6
MHK,1/29/2025,10:23:44,NA,2.973,10.49,77.9,0.69,0.15,NA,NA,NA,95.1,0.04,62,NA,41.76785,-74.15559,381.4,712.6
MHK,1/29/2025,10:24:06,NA,3.048,10.35,77,0.74,0.13,NA,NA,NA,95.2,0.04,62,NA,41.76788,-74.15556,384.7,712.6
MHK,1/29/2025,10:24:27,NA,3.121,10.2,76,0.27,0.09,NA,NA,NA,95.2,0.04,62,NA,41.76785,-74.15556,383.7,712.6
MHK,1/29/2025,10:24:49,NA,3.173,10.06,75.1,0.6,0.11,NA,NA,NA,95.2,0.04,62,NA,41.76789,-74.15555,384.9,712.6
MHK,1/29/2025,10:25:11,NA,3.235,9.94,74.3,0.49,0.04,NA,NA,NA,95.3,0.04,62,NA,41.76789,-74.15554,385.5,712.6
MHK,1/29/2025,10:25:31,NA,3.259,9.81,73.4,0.53,0.09,NA,NA,NA,95.7,0.04,62,NA,41.7679,-74.15559,383.9,712.6
MHK,1/29/2025,10:25:51,NA,3.284,9.53,71.4,0.53,0.25,NA,NA,NA,96,0.04,62,NA,41.76792,-74.15555,382.1,712.7
MHK,1/29/2025,10:26:14,NA,3.306,9.07,68,0.39,0.19,NA,NA,NA,96.2,0.04,63,NA,41.76796,-74.15553,381.9,712.7
