lakeID,Date,Time,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,11/13/2024,10:41:05,0,10.135,9.9,88,0.14,-0.33,NA,NA,NA,91.8,0.04,60,NA,0,0,0,740.5
MHK,11/13/2024,10:41:32,0.25,10.141,9.63,85.6,0.16,-0.35,NA,NA,NA,91.9,0.04,60,NA,0,0,0,740.5
MHK,11/13/2024,10:42:03,0.5,10.17,9.47,84.2,0.15,-0.13,NA,NA,NA,91.9,0.04,60,NA,41.76794,-74.15561,380.4,740.5
MHK,11/13/2024,10:45:02,0.75,10.15,10.23,90.9,0.1,-0.24,NA,NA,NA,91.7,0.04,60,NA,41.76789,-74.15561,382.4,740.5
MHK,11/13/2024,10:45:23,1,10.151,9.69,86.2,0.14,-0.26,NA,NA,NA,91.8,0.04,60,NA,41.7679,-74.15553,377,740.4
MHK,11/13/2024,10:45:53,1.25,10.147,9.41,83.6,0.16,-0.26,NA,NA,NA,91.8,0.04,60,NA,41.76791,-74.15554,369.7,740.5
MHK,11/13/2024,10:47:23,1.5,10.147,9.17,81.6,0.16,-0.22,NA,NA,NA,91.8,0.04,60,NA,41.76791,-74.15554,364,740.4
MHK,11/13/2024,10:47:58,1.75,10.141,9.14,81.2,0.13,-0.27,NA,NA,NA,91.8,0.04,60,NA,41.76794,-74.15554,357.2,740.3
MHK,11/13/2024,10:48:25,2,10.13,9.13,81.1,0.13,-0.29,NA,NA,NA,91.8,0.04,60,NA,41.76796,-74.15555,357.8,740.3
MHK,11/13/2024,10:48:48,2.25,10.121,9.15,81.3,0.11,-0.27,NA,NA,NA,91.8,0.04,60,NA,41.76797,-74.15553,358.2,740.3
MHK,11/13/2024,10:49:10,2.5,10.122,9.15,81.4,0.13,-0.28,NA,NA,NA,91.8,0.04,60,NA,41.76803,-74.15559,367.4,740.3
MHK,11/13/2024,10:49:33,2.75,10.124,9.16,81.4,0.13,-0.27,NA,NA,NA,91.8,0.04,60,NA,41.76808,-74.15566,384.1,740.3
MHK,11/13/2024,10:49:53,3,10.123,9.16,81.4,0.18,-0.24,NA,NA,NA,91.8,0.04,60,NA,41.76809,-74.15571,403.8,740.3
MHK,11/13/2024,10:50:24,3.25,10.118,9.18,81.6,0.13,-0.28,NA,NA,NA,91.8,0.04,60,NA,41.76796,-74.15577,423.1,740.2
MHK,11/13/2024,10:50:59,3.5,10.112,9.19,81.6,0.15,-0.27,NA,NA,NA,91.8,0.04,60,NA,41.76793,-74.15575,434.3,740.3
MHK,11/13/2024,10:51:26,3.75,10.107,9.18,81.5,0.23,-0.22,NA,NA,NA,91.8,0.04,60,NA,41.76791,-74.15572,420.4,740.2
MHK,11/13/2024,10:51:57,4,10.105,9.16,81.3,0.21,-0.24,NA,NA,NA,91.8,0.04,60,NA,41.76796,-74.15568,402.3,740.2
MHK,11/13/2024,10:52:32,4.25,10.105,9.15,81.3,0.11,-0.28,NA,NA,NA,91.8,0.04,60,NA,41.76793,-74.15561,404.2,740.2
