Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-04-15,13.9,10.95,111.2,0,MOHK_D10,MHK
2026-04-15,13.1,11.19,111.8,1,MOHK_D10,MHK
2026-04-15,12.4,11.33,111.2,2,MOHK_D10,MHK
2026-04-15,10.6,11.94,112.5,3,MOHK_D10,MHK
2026-04-15,9.2,12.91,113.1,4,MOHK_D10,MHK
2026-04-15,8.5,12.65,113.3,5,MOHK_D10,MHK
2026-04-15,8,12.61,111.8,6,MOHK_D10,MHK
2026-04-15,6.7,11.38,97.6,7,MOHK_D10,MHK
2026-04-15,6.1,10.43,88,8,MOHK_D10,MHK
2026-04-15,5.6,9.46,78.9,9,MOHK_D10,MHK
2026-04-15,5.2,8.94,73.9,10,MOHK_D10,MHK
2026-04-15,5.1,8.74,71.9,11,MOHK_D10,MHK
2026-04-15,5,7.04,57.8,12,MOHK_D10,MHK
