Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-05-11,15,10.12,104.6,0,MOHK_D10,MHK
2026-05-11,14.5,10.14,104.2,1,MOHK_D10,MHK
2026-05-11,14.2,10.23,104,2,MOHK_D10,MHK
2026-05-11,13.9,10.28,103.8,3,MOHK_D10,MHK
2026-05-11,13.6,10.31,103.5,4,MOHK_D10,MHK
2026-05-11,12.1,11.81,114.5,5,MOHK_D10,MHK
2026-05-11,10,12.41,114.6,6,MOHK_D10,MHK
2026-05-11,8.7,12.04,107.8,7,MOHK_D10,MHK
2026-05-11,7.3,10.1,87.4,8,MOHK_D10,MHK
2026-05-11,6.5,8.99,76.2,9,MOHK_D10,MHK
2026-05-11,6,7.95,66.6,10,MOHK_D10,MHK
2026-05-11,5.7,6.54,54.3,11,MOHK_D10,MHK
2026-05-11,5.4,5.8,47.9,12,MOHK_D10,MHK
