Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-06-03,18.8,9.41,104.9,0,MOHK_D10,MHK
2026-06-03,18.3,9.54,105.3,1,MOHK_D10,MHK
2026-06-03,17.7,9.59,104.5,2,MOHK_D10,MHK
2026-06-03,17.5,9.58,103.9,3,MOHK_D10,MHK
2026-06-03,17.1,9.73,104.7,4,MOHK_D10,MHK
2026-06-03,16.2,10.5,110.8,5,MOHK_D10,MHK
2026-06-03,12.8,13.21,129.4,6,MOHK_D10,MHK
2026-06-03,11.2,12.97,122.5,7,MOHK_D10,MHK
2026-06-03,9.2,12.8,115.5,8,MOHK_D10,MHK
2026-06-03,7.7,10.55,91.6,9,MOHK_D10,MHK
2026-06-03,6.6,8.08,68.3,10,MOHK_D10,MHK
2026-06-03,6,6.85,57.1,11,MOHK_D10,MHK
2026-06-03,5.7,2.98,24.7,12,MOHK_D10,MHK
