Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-05-21,19.2,9.45,106,0,MOHK_D10,MHK
2026-05-21,18.8,10.56,117.5,1,MOHK_D10,MHK
2026-05-21,17.7,10.71,116.6,2,MOHK_D10,MHK
2026-05-21,16.6,10.72,114.1,3,MOHK_D10,MHK
2026-05-21,15.2,10.81,111.7,4,MOHK_D10,MHK
2026-05-21,12.7,12.18,119,5,MOHK_D10,MHK
2026-05-21,10.8,12.83,119.9,6,MOHK_D10,MHK
2026-05-21,8.4,12.07,116.7,7,MOHK_D10,MHK
2026-05-21,7.3,11.36,97.7,8,MOHK_D10,MHK
2026-05-21,6.6,9.83,83.1,9,MOHK_D10,MHK
2026-05-21,5.9,6.82,56.6,10,MOHK_D10,MHK
2026-05-21,5.6,5.66,46.6,11,MOHK_D10,MHK
2026-05-21,5.4,2.72,22.3,12,MOHK_D10,MHK
