Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-03-18,2.1,10.87,81.3,0,MOHK_D10,MHK
2026-03-18,3,10.36,79.3,1,MOHK_D10,MHK
2026-03-18,3.1,9.96,76.4,2,MOHK_D10,MHK
2026-03-18,3.1,9.82,75.5,3,MOHK_D10,MHK
2026-03-18,3.1,9.77,75.1,4,MOHK_D10,MHK
2026-03-18,3.1,9.7,74.6,5,MOHK_D10,MHK
2026-03-18,3.1,9.67,74.3,6,MOHK_D10,MHK
2026-03-18,3.1,9.69,74.4,7,MOHK_D10,MHK
2026-03-18,3.1,9.45,72.5,8,MOHK_D10,MHK
2026-03-18,3.1,9.46,72.7,9,MOHK_D10,MHK
2026-03-18,3.1,9.62,73.9,10,MOHK_D10,MHK
2026-03-18,3,9.17,70.3,11,MOHK_D10,MHK
2026-03-18,3.1,7.14,54.8,12,MOHK_D10,MHK
