Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-02-04,0.5,13.7,98.6,0,MOHK_D10,MHK
2026-02-04,1.4,13.66,93.4,1,MOHK_D10,MHK
2026-02-04,2,11.2,84.1,2,MOHK_D10,MHK
2026-02-04,2.2,10.88,82.1,3,MOHK_D10,MHK
2026-02-04,2.3,10.74,81.3,4,MOHK_D10,MHK
2026-02-04,2.3,10.5,79.6,5,MOHK_D10,MHK
2026-02-04,2.4,10.36,78.6,6,MOHK_D10,MHK
2026-02-04,2.4,10.2,77.5,7,MOHK_D10,MHK
2026-02-04,2.5,10.04,76.3,8,MOHK_D10,MHK
2026-02-04,2.5,9.67,73,9,MOHK_D10,MHK
2026-02-04,2.6,9.38,71.6,10,MOHK_D10,MHK
2026-02-04,2.8,8.98,68.8,11,MOHK_D10,MHK
2026-02-04,2.9,5.73,44,12,MOHK_D10,MHK
