Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-02-11,1.1,14.19,105.7,0,MOHK_D10,MHK
2026-02-11,1.4,12.51,93.8,1,MOHK_D10,MHK
2026-02-11,2.2,11.35,87.1,2,MOHK_D10,MHK
2026-02-11,2.3,11.03,85,3,MOHK_D10,MHK
2026-02-11,2.4,10.82,83.5,4,MOHK_D10,MHK
2026-02-11,2.4,10.65,82.2,5,MOHK_D10,MHK
2026-02-11,2.4,10.54,81.4,6,MOHK_D10,MHK
2026-02-11,2.5,10.35,80,7,MOHK_D10,MHK
2026-02-11,2.5,10.18,78.8,8,MOHK_D10,MHK
2026-02-11,2.6,9.84,76.3,9,MOHK_D10,MHK
2026-02-11,2.7,9.53,74.1,10,MOHK_D10,MHK
2026-02-11,2.8,8.95,69.8,11,MOHK_D10,MHK
2026-02-11,3,7.32,57.3,12,MOHK_D10,MHK
