Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-03-11,6,10.05,84.7,0,MOHK_D10,MHK
2026-03-11,3.1,11.38,88.9,1,MOHK_D10,MHK
2026-03-11,3.2,10.16,79.5,2,MOHK_D10,MHK
2026-03-11,3,9.36,73,3,MOHK_D10,MHK
2026-03-11,2.9,9.12,71,4,MOHK_D10,MHK
2026-03-11,2.9,9.12,70.9,5,MOHK_D10,MHK
2026-03-11,2.8,8.75,67.9,6,MOHK_D10,MHK
2026-03-11,2.8,9.08,70.4,7,MOHK_D10,MHK
2026-03-11,2.6,9.58,74,8,MOHK_D10,MHK
2026-03-11,2.6,9.56,73.8,9,MOHK_D10,MHK
2026-03-11,2.7,9.25,71.6,10,MOHK_D10,MHK
2026-03-11,2.8,8.61,66.8,11,MOHK_D10,MHK
2026-03-11,2.9,6.36,49.5,12,MOHK_D10,MHK
