Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-07-15,24.8,8.15,103.3,0,MOHK_D10,MHK
2026-07-15,24.9,8.12,103.1,1,MOHK_D10,MHK
2026-07-15,24.8,8.16,103.4,2,MOHK_D10,MHK
2026-07-15,24.8,8.17,103.5,3,MOHK_D10,MHK
2026-07-15,24.7,8.16,103.2,4,MOHK_D10,MHK
2026-07-15,20.8,11.59,136.1,5,MOHK_D10,MHK
2026-07-15,15.7,12.74,134.5,6,MOHK_D10,MHK
2026-07-15,12.5,12.48,122.9,7,MOHK_D10,MHK
2026-07-15,10,10.96,101.9,8,MOHK_D10,MHK
2026-07-15,7.8,5.68,50.2,9,MOHK_D10,MHK
2026-07-15,6.9,2.26,14.5,10,MOHK_D10,MHK
2026-07-15,6.3,0.39,3.3,11,MOHK_D10,MHK
2026-07-15,6.2,0.31,2.6,12,MOHK_D10,MHK
