Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-04-08,6.9,11.14,93.8,0,MOHK_D10,MHK
2026-04-08,6.5,11.18,93.3,1,MOHK_D10,MHK
2026-04-08,6.3,11.16,92.6,2,MOHK_D10,MHK
2026-04-08,6.2,11.15,92.1,3,MOHK_D10,MHK
2026-04-08,6.1,11.16,92.1,4,MOHK_D10,MHK
2026-04-08,6.1,11.18,92,5,MOHK_D10,MHK
2026-04-08,6,11.13,91.5,6,MOHK_D10,MHK
2026-04-08,6,10.92,89.7,7,MOHK_D10,MHK
2026-04-08,6,10.87,89.3,8,MOHK_D10,MHK
2026-04-08,5.7,10.44,85.2,9,MOHK_D10,MHK
2026-04-08,5.5,10.06,81.6,10,MOHK_D10,MHK
2026-04-08,5,9.39,74.5,11,MOHK_D10,MHK
2026-04-08,NA,NA,NA,12,MOHK_D10,MHK
