Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-07-08,23.3,8.26,101.1,0,MOHK_D10,MHK
2026-07-08,23.2,8.25,100.8,1,MOHK_D10,MHK
2026-07-08,23.1,8.17,99.6,2,MOHK_D10,MHK
2026-07-08,23.1,8.05,98,3,MOHK_D10,MHK
2026-07-08,22.9,8.7,105,4,MOHK_D10,MHK
2026-07-08,19.1,11.27,127,5,MOHK_D10,MHK
2026-07-08,15.8,12.29,129.4,6,MOHK_D10,MHK
2026-07-08,13,12.45,123.2,7,MOHK_D10,MHK
2026-07-08,10.7,11.4,106.9,8,MOHK_D10,MHK
2026-07-08,8.6,8.91,79.5,9,MOHK_D10,MHK
2026-07-08,7.5,6.56,57,10,MOHK_D10,MHK
2026-07-08,6.4,2.12,18,11,MOHK_D10,MHK
2026-07-08,6.3,0.51,4.3,12,MOHK_D10,MHK
