Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-06-30,25.5,8.48,107.5,0,MOHK_D10,MHK
2026-06-30,24.7,8.58,107.8,1,MOHK_D10,MHK
2026-06-30,24,8.56,106.1,2,MOHK_D10,MHK
2026-06-30,23.1,0.87,108,3,MOHK_D10,MHK
2026-06-30,22,8.83,104,4,MOHK_D10,MHK
2026-06-30,17.6,11.88,129.8,5,MOHK_D10,MHK
2026-06-30,14.4,12.84,131,6,MOHK_D10,MHK
2026-06-30,11.3,12.75,121.3,7,MOHK_D10,MHK
2026-06-30,8.8,11.33,101.8,8,MOHK_D10,MHK
2026-06-30,7.8,9.3,79.1,9,MOHK_D10,MHK
2026-06-30,6.8,4.74,40.5,10,MOHK_D10,MHK
2026-06-30,6.3,12.49,21,11,MOHK_D10,MHK
2026-06-30,6,0.6,5,12,MOHK_D10,MHK
