Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-02-25,0.7,12.99,95.7,0,MOHK_D10,MHK
2026-02-25,1.5,12.52,94.4,1,MOHK_D10,MHK
2026-02-25,2.2,10.87,83.5,2,MOHK_D10,MHK
2026-02-25,2.4,10.15,78.4,3,MOHK_D10,MHK
2026-02-25,2.5,9.9,76.6,4,MOHK_D10,MHK
2026-02-25,2.5,9.73,75.4,5,MOHK_D10,MHK
2026-02-25,2.6,9.56,74.1,6,MOHK_D10,MHK
2026-02-25,2.6,9.4,72.9,7,MOHK_D10,MHK
2026-02-25,2.6,9.16,71.1,8,MOHK_D10,MHK
2026-02-25,2.7,8.94,69.6,9,MOHK_D10,MHK
2026-02-25,2.7,8.65,67.4,10,MOHK_D10,MHK
2026-02-25,2.9,7.95,62.2,11,MOHK_D10,MHK
2026-02-25,N/A ,N/A ,N/A ,12,MOHK_D10,MHK
