Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-04-01,9,9.85,89,0,MOHK_D10,MHK
2026-04-01,8.1,10.11,89.4,1,MOHK_D10,MHK
2026-04-01,7.6,10.2,89.1,2,MOHK_D10,MHK
2026-04-01,7.3,10.13,87.7,3,MOHK_D10,MHK
2026-04-01,6.5,10.25,87,4,MOHK_D10,MHK
2026-04-01,6.1,10.18,85.8,5,MOHK_D10,MHK
2026-04-01,5.7,10.08,83.9,6,MOHK_D10,MHK
2026-04-01,5.4,10.04,83,7,MOHK_D10,MHK
2026-04-01,5.1,9.89,81.2,8,MOHK_D10,MHK
2026-04-01,4.8,9.84,80.2,9,MOHK_D10,MHK
2026-04-01,4.7,9.78,79.4,10,MOHK_D10,MHK
2026-04-01,4.6,9.72,78.8,11,MOHK_D10,MHK
2026-04-01,4.6,9.54,77.2,12,MOHK_D10,MHK
