Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-06-10,22.1,8.71,104.6,0,MOHK_D10,MHK
2026-06-10,21.6,8.86,105.4,1,MOHK_D10,MHK
2026-06-10,21.5,8.86,105.2,2,MOHK_D10,MHK
2026-06-10,19.9,9.67,111.4,3,MOHK_D10,MHK
2026-06-10,18.6,9.83,110.1,4,MOHK_D10,MHK
2026-06-10,15.6,12.46,131,5,MOHK_D10,MHK
2026-06-10,12.7,13.8,133.1,6,MOHK_D10,MHK
2026-06-10,10.2,12.8,119.5,7,MOHK_D10,MHK
2026-06-10,8.5,11.7,104.8,8,MOHK_D10,MHK
2026-06-10,7.2,9.6,83.4,9,MOHK_D10,MHK
2026-06-10,6.7,8.46,70.4,10,MOHK_D10,MHK
2026-06-10,6,4.45,38.1,11,MOHK_D10,MHK
2026-06-10,5.9,2.07,17.4,12,MOHK_D10,MHK
