Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-06-25,21.3,8.54,100.9,0,MOHK_D10,MHK
2026-06-25,20,8.56,100.4,1,MOHK_D10,MHK
2026-06-25,20.7,8.63,100.8,2,MOHK_D10,MHK
2026-06-25,20.6,8.65,100.1,3,MOHK_D10,MHK
2026-06-25,20.4,8.91,103.5,4,MOHK_D10,MHK
2026-06-25,17.5,11.6,126.8,5,MOHK_D10,MHK
2026-06-25,14.1,12.7,130.4,6,MOHK_D10,MHK
2026-06-25,11.2,12.41,118.4,7,MOHK_D10,MHK
2026-06-25,9.2,11.68,106.4,8,MOHK_D10,MHK
2026-06-25,7.9,9.28,81.8,9,MOHK_D10,MHK
2026-06-25,6.9,6.73,57.8,10,MOHK_D10,MHK
2026-06-25,6.2,3.23,27.6,11,MOHK_D10,MHK
2026-06-25,6.1,0.75,6.3,12,MOHK_D10,MHK
