Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-03-04,2.5,11.94,90.6,0,MOHK_D10,MHK
2026-03-04,1.7,12.14,90,1,MOHK_D10,MHK
2026-03-04,2.5,10.71,81.2,2,MOHK_D10,MHK
2026-03-04,2.6,10.08,76.6,3,MOHK_D10,MHK
2026-03-04,2.6,9.66,73.4,4,MOHK_D10,MHK
2026-03-04,2.6,9.48,72.1,5,MOHK_D10,MHK
2026-03-04,2.6,9.38,71.4,6,MOHK_D10,MHK
2026-03-04,2.7,9.12,69.5,7,MOHK_D10,MHK
2026-03-04,2.7,9,68.6,8,MOHK_D10,MHK
2026-03-04,2.8,8.59,65.6,9,MOHK_D10,MHK
2026-03-04,2.9,7.89,60.4,10,MOHK_D10,MHK
2026-03-04,3,7.74,59.4,11,MOHK_D10,MHK
2026-03-04,3.4,1.36,10.6,12,MOHK_D10,MHK
