Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-05-07,14.2,10.15,103.9,0,MOHK_D10,MHK
2026-05-07,13.9,10.23,104.1,1,MOHK_D10,MHK
2026-05-07,13.6,10.28,104,2,MOHK_D10,MHK
2026-05-07,13.4,10.38,104.5,3,MOHK_D10,MHK
2026-05-07,13.1,10.55,105.5,4,MOHK_D10,MHK
2026-05-07,12.2,11.34,111,5,MOHK_D10,MHK
2026-05-07,9.7,12.71,117.5,6,MOHK_D10,MHK
2026-05-07,7.8,11.86,104.7,7,MOHK_D10,MHK
2026-05-07,6.4,9.41,80.3,8,MOHK_D10,MHK
2026-05-07,5.8,7.85,65.9,9,MOHK_D10,MHK
2026-05-07,5.5,7.08,59,10,MOHK_D10,MHK
2026-05-07,5.4,6.88,57.1,11,MOHK_D10,MHK
2026-05-07,5.3,5.66,46.9,12,MOHK_D10,MHK
