Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-01-28,0.6,13.92,101,0,MOHK_D10,MHK
2026-01-28,1.5,13.13,97.7,1,MOHK_D10,MHK
2026-01-28,1.9,11.94,89.9,2,MOHK_D10,MHK
2026-01-28,2.1,11.43,86.6,3,MOHK_D10,MHK
2026-01-28,2.2,11.13,84.5,4,MOHK_D10,MHK
2026-01-28,2.3,11.03,83.7,5,MOHK_D10,MHK
2026-01-28,2.3,10.97,83.4,6,MOHK_D10,MHK
2026-01-28,2.3,10.72,81.5,7,MOHK_D10,MHK
2026-01-28,2.3,10.44,79.4,8,MOHK_D10,MHK
2026-01-28,2.4,10.45,79.5,9,MOHK_D10,MHK
2026-01-28,2.2,10.42,79.4,10,MOHK_D10,MHK
2026-01-28,2.5,10.01,76.8,11,MOHK_D10,MHK
2026-01-28,2.5,9.94,76,12,MOHK_D10,MHK
