Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-04-22,11.1,10.85,102.9,0,MOHK_D10,MHK
2026-04-22,11.3,10.79,102.8,1,MOHK_D10,MHK
2026-04-22,11.3,10.77,102.6,2,MOHK_D10,MHK
2026-04-22,11.3,10.76,102.5,3,MOHK_D10,MHK
2026-04-22,11,11.14,105.2,4,MOHK_D10,MHK
2026-04-22,9.1,12.62,114,5,MOHK_D10,MHK
2026-04-22,8.4,12.71,112.9,6,MOHK_D10,MHK
2026-04-22,7.3,12.37,107,7,MOHK_D10,MHK
2026-04-22,6.3,10.26,86.5,8,MOHK_D10,MHK
2026-04-22,5.8,9.49,79,9,MOHK_D10,MHK
2026-04-22,5.5,9.02,74.6,10,MOHK_D10,MHK
2026-04-22,5.3,8.23,67.7,11,MOHK_D10,MHK
2026-04-22,5.2,7.39,60.5,12,MOHK_D10,MHK
