Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-01-12,2.5,11.54,88.6,0,MOHK_D10,MHK
2026-01-12,2.4,11.45,87.7,1,MOHK_D10,MHK
2026-01-12,2.3,11.26,86,2,MOHK_D10,MHK
2026-01-12,2.3,11.14,85,3,MOHK_D10,MHK
2026-01-12,2.3,10.38,79.2,4,MOHK_D10,MHK
2026-01-12,2.3,10.61,80.9,5,MOHK_D10,MHK
2026-01-12,2.3,10.79,82.3,6,MOHK_D10,MHK
2026-01-12,2.3,10.82,82.5,7,MOHK_D10,MHK
2026-01-12,2.3,10.53,80.5,8,MOHK_D10,MHK
2026-01-12,2.4,10.05,77,9,MOHK_D10,MHK
2026-01-12,2.6,9.4,72.3,10,MOHK_D10,MHK
2026-01-12,2.6,8.48,65.4,11,MOHK_D10,MHK
2026-01-12,2,12.77,96.7,12,MOHK_D10,MHK
