sample_no,Depth_m,collect_date,Temp_C_DOProbe,DO_mgpL,DO_Sat_Percent
14,0,04/09/2025,6.3,11.67,98
14,1,04/09/2025,6.2,11.47,96.1
14,2,04/09/2025,6.1,11.42,95.5
14,3,04/09/2025,6,11.41,95.2
14,4,04/09/2025,6,11.39,95
14,5,04/09/2025,6,11.38,94.8
14,6,04/09/2025,6,11.36,94.6
14,7,04/09/2025,6,11.35,94.5
14,8,04/09/2025,6,11.33,94.4
14,9,04/09/2025,5.9,11.31,94.2
14,10,04/09/2025,5.9,11.3,94
14,11,04/09/2025,5.9,11.25,93.5
14,12,04/09/2025,5.4,10,82
