Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,lakeID
2024-06-05,23.4,8.25,101.6,0,MHK
2024-06-05,23.8,8.34,101.8,1,MHK
2024-06-05,22.7,8.42,102.3,2,MHK
2024-06-05,21.6,8.34,99.8,3,MHK
2024-06-05,17.3,10.74,117.6,4,MHK
2024-06-05,13.4,11.48,116.5,5,MHK
2024-06-05,10.4,11.84,112.6,6,MHK
2024-06-05,9,11.93,108,7,MHK
2024-06-05,7.6,11.96,104.8,8,MHK
2024-06-05,6.7,10.28,88.1,9,MHK
2024-06-05,6.1,7.15,60.3,10,MHK
2024-06-05,5.8,6.74,56.4,11,MHK
2024-06-05,5.6,4.51,37.6,12,MHK
