Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,lakeID
2024-10-09,17,8.94,97,0,MHK
2024-10-09,17.2,8.9,96.9,1,MHK
2024-10-09,17.2,8.89,96.9,2,MHK
2024-10-09,17.3,8.87,96.8,3,MHK
2024-10-09,17.3,8.86,96.8,4,MHK
2024-10-09,17.3,8.83,96.5,5,MHK
2024-10-09,17.2,8.26,90,6,MHK
2024-10-09,14.1,6.8,69.3,7,MHK
2024-10-09,11.5,5.85,56.3,8,MHK
2024-10-09,9.5,3.45,31.7,9,MHK
2024-10-09,8,0.38,3.3,10,MHK
2024-10-09,7.2,0.29,2.5,11,MHK
2024-10-09,6.7,0.25,2.2,12,MHK
