Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,lakeID
2024-09-11,20.6,9.12,105.3,0,MHK
2024-09-11,20.1,9.08,103.7,1,MHK
2024-09-11,19.9,9.12,103.8,2,MHK
2024-09-11,19.8,9.08,103.3,3,MHK
2024-09-11,19.8,9.06,102.9,4,MHK
2024-09-11,19.7,8.92,101.2,5,MHK
2024-09-11,17.8,9.43,102.9,6,MHK
2024-09-11,13.8,8.25,82.8,7,MHK
2024-09-11,11.6,7.47,71.2,8,MHK
2024-09-11,9.8,5.61,51.3,9,MHK
2024-09-11,8,2.34,20.5,10,MHK
2024-09-11,7.3,0.46,3.9,11,MHK
2024-09-11,6.7,0.33,2.8,12,MHK
