Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-05-07,16.6,9.79,105.2,0,MOHK_D10,MHK
2025-05-07,16.5,9.84,105.3,1,MOHK_D10,MHK
2025-05-07,16.2,9.85,104.9,2,MOHK_D10,MHK
2025-05-07,14.2,9.97,101.7,3,MOHK_D10,MHK
2025-05-07,11.4,10.23,98,4,MOHK_D10,MHK
2025-05-07,9.7,10.36,95.3,5,MOHK_D10,MHK
2025-05-07,8.6,9.96,89.2,6,MOHK_D10,MHK
2025-05-07,7.5,9.85,86,7,MOHK_D10,MHK
2025-05-07,6.8,9.79,83.9,8,MOHK_D10,MHK
2025-05-07,6.5,9.66,82.1,9,MOHK_D10,MHK
2025-05-07,6.2,8.55,72.1,10,MOHK_D10,MHK
2025-05-07,6,8.13,68.3,11,MOHK_D10,MHK
2025-05-07,5.9,7.12,59.6,12,MOHK_D10,MHK
