Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-10-07,19.8,8.99,102.7,0,MOHK_D10,MHK
2025-10-07,19.5,9.11,103.2,1,MOHK_D10,MHK
2025-10-07,19.3,9.14,103.1,2,MOHK_D10,MHK
2025-10-07,19,9.14,102.5,3,MOHK_D10,MHK
2025-10-07,18.3,9.54,105.6,4,MOHK_D10,MHK
2025-10-07,17.9,9.14,100.4,5,MOHK_D10,MHK
2025-10-07,16.7,9.61,103,6,MOHK_D10,MHK
2025-10-07,13,8.3,82,7,MOHK_D10,MHK
2025-10-07,9.9,5.17,47.5,8,MOHK_D10,MHK
2025-10-07,8.5,1.91,17,9,MOHK_D10,MHK
2025-10-07,7,0.25,2.1,10,MOHK_D10,MHK
2025-10-07,6.7,0.24,2.1,11,MOHK_D10,MHK
2025-10-07,6.6,0.25,2.1,12,MOHK_D10,MHK
