Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-09-24,20.3,9.03,104.4,0,MOHK_D10,MHK
2025-09-24,20,9.1,104.4,1,MOHK_D10,MHK
2025-09-24,19.8,9.11,104.2,2,MOHK_D10,MHK
2025-09-24,19.6,9.05,103,3,MOHK_D10,MHK
2025-09-24,19.3,8.98,101.7,4,MOHK_D10,MHK
2025-09-24,18.8,9.22,103.3,5,MOHK_D10,MHK
2025-09-24,16,10.2,107.7,6,MOHK_D10,MHK
2025-09-24,12.6,8.76,85.9,7,MOHK_D10,MHK
2025-09-24,9.9,6.54,60.4,8,MOHK_D10,MHK
2025-09-24,8.2,3.33,29.5,9,MOHK_D10,MHK
2025-09-24,7.5,1.24,10.8,10,MOHK_D10,MHK
2025-09-24,7,0.28,2.4,11,MOHK_D10,MHK
2025-09-24,6.7,0.25,2.2,12,MOHK_D10,MHK
