Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-07-01,25.5,8.12,104.4,0,MOHK_D10,MHK
2025-07-01,25.4,8.16,104.5,1,MOHK_D10,MHK
2025-07-01,24.1,8.47,105.9,2,MOHK_D10,MHK
2025-07-01,22.1,8.94,107.9,3,MOHK_D10,MHK
2025-07-01,17.4,10.49,115.1,4,MOHK_D10,MHK
2025-07-01,13.6,11.92,120.5,5,MOHK_D10,MHK
2025-07-01,11.3,12.29,118.1,6,MOHK_D10,MHK
2025-07-01,9.4,12.23,112.2,7,MOHK_D10,MHK
2025-07-01,7.4,8.73,76.3,8,MOHK_D10,MHK
2025-07-01,6.9,7.29,62.9,9,MOHK_D10,MHK
2025-07-01,6.5,5.13,43.8,10,MOHK_D10,MHK
2025-07-01,6.2,5.34,28.4,11,MOHK_D10,MHK
2025-07-01,6.1,1.87,15.9,12,MOHK_D10,MHK
