Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-12-22,1.2,12.05,87.8,0,MOHK_D10,MHK
2025-12-22,1.5,11.89,87.3,1,MOHK_D10,MHK
2025-12-22,1.9,11.53,85.7,2,MOHK_D10,MHK
2025-12-22,2.1,11.37,84.8,3,MOHK_D10,MHK
2025-12-22,2.2,11.29,84.4,4,MOHK_D10,MHK
2025-12-22,2.2,11.26,84.2,5,MOHK_D10,MHK
2025-12-22,2.2,11.21,84,6,MOHK_D10,MHK
2025-12-22,2.3,11.16,83.7,7,MOHK_D10,MHK
2025-12-22,2.3,11.11,83.4,8,MOHK_D10,MHK
2025-12-22,2.4,11.05,83.1,9,MOHK_D10,MHK
2025-12-22,2.4,10.98,82.7,10,MOHK_D10,MHK
2025-12-22,2.5,10.89,82.2,11,MOHK_D10,MHK
2025-12-22,2.8,9.22,70.1,11.5,MOHK_D10,MHK
