Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-07-03,23.3,8.76,106.1,0,MHK
2024-07-03,23.4,8.74,106.5,1,MHK
2024-07-03,23.5,8.7,106.1,2,MHK
2024-07-03,23,8.65,104.5,3,MHK
2024-07-03,22.3,8.84,105.5,4,MHK
2024-07-03,18.2,11.18,122.8,5,MHK
2024-07-03,15.6,11.35,118.3,6,MHK
2024-07-03,10.9,11.22,105.3,7,MHK
2024-07-03,8.8,9.98,89,8,MHK
2024-07-03,6.9,6.49,55.2,9,MHK
2024-07-03,6.2,4.24,35.5,10,MHK
2024-07-03,5.9,2.97,24.7,11,MHK
2024-07-03,5.9,0.86,7.2,12,MHK
