Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-10-29,11.6,9.35,89.4,0,MOHK_D10,MHK
2025-10-29,11.4,9.35,89.1,1,MOHK_D10,MHK
2025-10-29,11.3,9.35,88.8,2,MOHK_D10,MHK
2025-10-29,11.2,9.34,88.7,3,MOHK_D10,MHK
2025-10-29,11.2,9.33,88.5,4,MOHK_D10,MHK
2025-10-29,11.2,9.36,88.6,5,MOHK_D10,MHK
2025-10-29,11.1,9.3,88,6,MOHK_D10,MHK
2025-10-29,11.1,9.21,87.1,7,MOHK_D10,MHK
2025-10-29,11,8.62,81.3,8,MOHK_D10,MHK
2025-10-29,9.4,1.81,16.5,9,MOHK_D10,MHK
2025-10-29,7.8,0.33,2.9,10,MOHK_D10,MHK
2025-10-29,7.2,0.29,2.5,11,MOHK_D10,MHK
2025-10-29,7,0.28,2.4,12,MOHK_D10,MHK
