Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-10-20,14.3,9.5,98.1,0,MOHK_D10,MHK
2025-10-20,13.7,9.62,98,1,MOHK_D10,MHK
2025-10-20,13.7,9.62,97.9,2,MOHK_D10,MHK
2025-10-20,13.6,9.61,97.7,3,MOHK_D10,MHK
2025-10-20,13.5,9.56,96.9,4,MOHK_D10,MHK
2025-10-20,13.3,9.48,95.8,5,MOHK_D10,MHK
2025-10-20,13.2,9.41,94.8,6,MOHK_D10,MHK
2025-10-20,13.1,9.31,93.6,7,MOHK_D10,MHK
2025-10-20,10.6,4.51,42.8,8,MOHK_D10,MHK
2025-10-20,8.7,0.93,8.4,9,MOHK_D10,MHK
2025-10-20,7.8,0.35,3.1,10,MOHK_D10,MHK
2025-10-20,7.3,0.29,2.5,11,MOHK_D10,MHK
2025-10-20,N/A,N/A,N/A,12,MOHK_D10,MHK
