Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-01-23,1.2,12.3,89.5,0,MHK
2024-01-23,2.1,11.72,87.4,1,MHK
2024-01-23,2.4,11.27,84.7,2,MHK
2024-01-23,2.5,11.05,83.3,3,MHK
2024-01-23,2.7,10.89,82.6,4,MHK
2024-01-23,3,10.74,82,5,MHK
2024-01-23,3.1,10.66,81.7,6,MHK
2024-01-23,3.2,10.56,81.2,7,MHK
2024-01-23,3.3,10.47,80.7,8,MHK
2024-01-23,3.4,10.36,80,9,MHK
2024-01-23,3.4,10.26,79.3,10,MHK
2024-01-23,3.5,10.17,78.7,11,MHK
2024-01-23,3.5,9.91,76.8,12,MHK
