Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-04-02,6.5,12.03,102.6,0,MHK
2024-04-02,7.2,11.65,101.1,1,MHK
2024-04-02,6.2,12.16,102.9,2,MHK
2024-04-02,6,12.16,102.4,3,MHK
2024-04-02,5.7,12.09,101.2,4,MHK
2024-04-02,5.6,12.12,100.9,5,MHK
2024-04-02,5.5,12.09,100.4,6,MHK
2024-04-02,5.3,12.1,100.1,7,MHK
2024-04-02,5.2,11.9,98.1,8,MHK
2024-04-02,5.1,11.84,97.3,9,MHK
2024-04-02,5.1,11.76,96.5,10,MHK
2024-04-02,NA,NA,NA,10.5,MHK
2024-04-02,5,11.58,94.9,11,MHK
2024-04-02,4.9,11.36,93,12,MHK
