Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-07-17,26.8,8.16,107.2,0,MHK
2024-07-17,26.8,8.17,107.3,1,MHK
2024-07-17,26.7,8.14,106.8,2,MHK
2024-07-17,26.6,8.03,105.1,3,MHK
2024-07-17,23.6,9.95,123.3,4,MHK
2024-07-17,18.6,11.43,128.3,5,MHK
2024-07-17,15.1,11.98,124.5,6,MHK
2024-07-17,11.6,11.11,107.3,7,MHK
2024-07-17,9.4,9.64,88.3,8,MHK
2024-07-17,7.9,7.31,64.6,9,MHK
2024-07-17,6.7,4.03,34.6,10,MHK
2024-07-17,6.2,1.5,12.7,11,MHK
2024-07-17,6,0.37,3.1,12,MHK
