Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2025-05-07,16.6,9.79,105.2,0,MHK
2025-05-07,16.5,9.84,105.3,1,MHK
2025-05-07,16.2,9.85,104.9,2,MHK
2025-05-07,14.2,9.97,101.7,3,MHK
2025-05-07,11.4,10.23,98,4,MHK
2025-05-07,9.7,10.36,95.3,5,MHK
2025-05-07,8.6,9.96,89.2,6,MHK
2025-05-07,7.5,9.85,86,7,MHK
2025-05-07,6.8,9.79,83.9,8,MHK
2025-05-07,6.5,9.66,82.1,9,MHK
2025-05-07,6.2,8.55,72.1,10,MHK
2025-05-07,6,8.13,68.3,11,MHK
2025-05-07,5.9,7.12,59.6,12,MHK
