Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-04-16,11.02,11.02,104.6,0,MHK
2024-04-16,10.4,11.18,104.1,1,MHK
2024-04-16,9.6,11.25,102.8,2,MHK
2024-04-16,8.7,11.54,103.1,3,MHK
2024-04-16,8,11.75,103.3,4,MHK
2024-04-16,7.6,11.56,100.7,5,MHK
2024-04-16,7.3,11.37,98.2,6,MHK
2024-04-16,6.7,11.21,95.4,7,MHK
2024-04-16,6.3,11.15,94,8,MHK
2024-04-16,5.8,10.91,90.7,9,MHK
2024-04-16,5.6,10.73,88.8,10,MHK
2024-04-16,5.5,10.66,88,11,MHK
2024-04-16,5.4,10.44,86,12,MHK
