Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-03-18,3.7,11.03,86.7,0,MOHK_D10,MHK
2025-03-18,3.9,11.25,89,1,MOHK_D10,MHK
2025-03-18,3.9,11.27,89.2,2,MOHK_D10,MHK
2025-03-18,3.8,11.25,89,3,MOHK_D10,MHK
2025-03-18,3.8,11.27,89,4,MOHK_D10,MHK
2025-03-18,3.8,11.24,88.8,5,MOHK_D10,MHK
2025-03-18,3.8,11.29,89.2,6,MOHK_D10,MHK
2025-03-18,3.8,11.32,89.4,7,MOHK_D10,MHK
2025-03-18,3.8,11.27,89,8,MOHK_D10,MHK
2025-03-18,3.8,11.28,89.1,9,MOHK_D10,MHK
2025-03-18,3.9,11.49,90.8,10,MOHK_D10,MHK
2025-03-18,3.9,11.39,90.1,11,MOHK_D10,MHK
2025-03-18,3.8,11.25,88.9,12,MOHK_D10,MHK
