Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-09-04,21.3,9.19,106.7,0,MHK
2024-09-04,21.5,9.06,105.7,1,MHK
2024-09-04,21.5,9.08,105.8,2,MHK
2024-09-04,21.5,9.05,105.5,3,MHK
2024-09-04,21.5,9.02,105,4,MHK
2024-09-04,19.9,9.4,106.2,5,MHK
2024-09-04,16.6,9.31,98.2,6,MHK
2024-09-04,13.8,9,89.3,7,MHK
2024-09-04,10.2,7.36,67.3,8,MHK
2024-09-04,8.1,3.28,28.6,9,MHK
2024-09-04,7,0.34,2.9,10,MHK
2024-09-04,6.7,0.29,2.4,11,MHK
2024-09-04,6.5,0.27,2.3,12,MHK
