Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-09-09,19.8,8.92,101,0,MOHK_D10,MHK
2025-09-09,19.9,8.86,100.6,1,MOHK_D10,MHK
2025-09-09,20,8.84,100.3,2,MOHK_D10,MHK
2025-09-09,20,8.83,100.3,3,MOHK_D10,MHK
2025-09-09,20,8.8,100,4,MOHK_D10,MHK
2025-09-09,19.1,10.31,115.1,5,MOHK_D10,MHK
2025-09-09,15.4,10.69,110.5,6,MOHK_D10,MHK
2025-09-09,12.2,9.69,93.3,7,MOHK_D10,MHK
2025-09-09,10,7.46,68.2,8,MOHK_D10,MHK
2025-09-09,8.6,5.63,49.8,9,MOHK_D10,MHK
2025-09-09,7.6,2.16,18.7,10,MOHK_D10,MHK
2025-09-09,6.8,0.36,3,11,MOHK_D10,MHK
2025-09-09,6.5,0.27,2.2,12,MOHK_D10,MHK
