Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-02-27,5.6,11.8,98.3,0,MHK
2024-02-27,4.88,12.57,102.7,1,MHK
2024-02-27,4.7,12.68,103.2,2,MHK
2024-02-27,4.5,12.25,99.2,3,MHK
2024-02-27,4.3,11.89,95.9,4,MHK
2024-02-27,4.2,11.9,95.7,5,MHK
2024-02-27,4.2,11.88,95.5,6,MHK
2024-02-27,4.1,11.88,95.3,7,MHK
2024-02-27,4.1,11.89,95.3,8,MHK
2024-02-27,4.1,11.89,95.3,9,MHK
2024-02-27,4.1,11.89,95.3,10,MHK
2024-02-27,4,10.3,82.3,11,MHK
2024-02-27,4,9.78,78.1,12,MHK
