Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-12-03,5,9.79,80.1,0,MOHK_D10,MHK
2025-12-03,4.8,9.68,78.1,1,MOHK_D10,MHK
2025-12-03,4.7,9.65,78.3,2,MOHK_D10,MHK
2025-12-03,4.7,9.62,78,3,MOHK_D10,MHK
2025-12-03,4.6,9.6,77.8,4,MOHK_D10,MHK
2025-12-03,4.6,9.58,77.6,5,MOHK_D10,MHK
2025-12-03,4.6,9.57,77.5,6,MOHK_D10,MHK
2025-12-03,4.6,9.56,77.4,7,MOHK_D10,MHK
2025-12-03,4.6,9.55,77.3,8,MOHK_D10,MHK
2025-12-03,4.6,9.55,77.3,9,MOHK_D10,MHK
2025-12-03,4.6,9.53,77.1,10,MOHK_D10,MHK
2025-12-03,4.6,9.52,77,11,MOHK_D10,MHK
2025-12-03,4.6,9.17,74.3,11.5,MOHK_D10,MHK
