Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-06-18,19.6,9.03,103.1,0,MOHK_D10,MHK
2025-06-18,19.6,9.03,103.2,1,MOHK_D10,MHK
2025-06-18,19.6,9.02,103.1,2,MOHK_D10,MHK
2025-06-18,18.1,10.38,115.1,3,MOHK_D10,MHK
2025-06-18,15.5,10.86,114,4,MOHK_D10,MHK
2025-06-18,12.7,12.38,122.1,5,MOHK_D10,MHK
2025-06-18,10,12.05,111.9,6,MOHK_D10,MHK
2025-06-18,8.5,9.79,87.7,7,MOHK_D10,MHK
2025-06-18,7.6,8.53,74.6,8,MOHK_D10,MHK
2025-06-18,6.8,7.44,63.9,9,MOHK_D10,MHK
2025-06-18,6.5,6.44,54.8,10,MOHK_D10,MHK
2025-06-18,6.3,4.72,40,11,MOHK_D10,MHK
2025-06-18,6.2,2.59,21.9,12,MOHK_D10,MHK
