Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-05-30,21.4,8.63,102.2,0,MHK
2024-05-30,21.1,8.6,101.3,1,MHK
2024-05-30,20.8,8.58,100.4,2,MHK
2024-05-30,20.6,8.55,99.8,3,MHK
2024-05-30,16,10.92,115.9,4,MHK
2024-05-30,13.7,11.29,113.9,5,MHK
2024-05-30,10.8,11.69,110.4,6,MHK
2024-05-30,9.1,11.83,107.4,7,MHK
2024-05-30,7.8,11.74,103.2,8,MHK
2024-05-30,6.8,9.54,81.8,9,MHK
2024-05-30,6.2,7.32,61.9,10,MHK
2024-05-30,5.8,6.87,57.6,11,MHK
2024-05-30,5.7,5.7,47.5,12,MHK
