Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-03-12,2.1,11.4,86.4,0,MOHK_D10,MHK
2025-03-12,3.3,11.79,92.3,1,MOHK_D10,MHK
2025-03-12,3.4,11.87,93.1,2,MOHK_D10,MHK
2025-03-12,3.4,11.88,93.1,3,MOHK_D10,MHK
2025-03-12,3.4,11.84,92.8,4,MOHK_D10,MHK
2025-03-12,3.4,11.79,92.4,5,MOHK_D10,MHK
2025-03-12,3.4,11.74,92,6,MOHK_D10,MHK
2025-03-12,3.4,11.79,92.5,7,MOHK_D10,MHK
2025-03-12,3.4,11.84,92.8,8,MOHK_D10,MHK
2025-03-12,3.4,11.84,92.8,9,MOHK_D10,MHK
2025-03-12,3.4,11.78,92.4,10,MOHK_D10,MHK
2025-03-12,3.4,11.76,92.2,11,MOHK_D10,MHK
2025-03-12,3.4,11.51,90.3,12,MOHK_D10,MHK
