Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-06-12,20.5,8.47,98.2,0,MHK
2024-06-12,20.2,8.42,97.2,1,MHK
2024-06-12,20,8.39,96.3,2,MHK
2024-06-12,19.9,8.33,95.4,3,MHK
2024-06-12,18.5,9.92,110.5,4,MHK
2024-06-12,14.2,11.43,116.3,5,MHK
2024-06-12,12.2,11.77,114.4,6,MHK
2024-06-12,9.9,11.66,107.5,7,MHK
2024-06-12,7.9,11.5,101.2,8,MHK
2024-06-12,6.9,8.79,75.3,9,MHK
2024-06-12,6.1,6.25,52.5,10,MHK
2024-06-12,5.9,5.32,44.5,11,MHK
2024-06-12,5.7,4.12,34.3,12,MHK
