Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-10-01,18.7,9.21,102.5,0,MOHK_D10,MHK
2025-10-01,18.9,9.15,102.2,1,MOHK_D10,MHK
2025-10-01,18.9,9.12,101.9,2,MOHK_D10,MHK
2025-10-01,18.9,9.12,102,3,MOHK_D10,MHK
2025-10-01,18.9,9.12,101.3,4,MOHK_D10,MHK
2025-10-01,18.3,9.19,101.4,5,MOHK_D10,MHK
2025-10-01,16,9.61,101.1,6,MOHK_D10,MHK
2025-10-01,13.2,8.7,86,7,MOHK_D10,MHK
2025-10-01,11.1,6.79,64.1,8,MOHK_D10,MHK
2025-10-01,8.5,1.85,16.4,9,MOHK_D10,MHK
2025-10-01,7.5,0.4,3.4,10,MOHK_D10,MHK
2025-10-01,7.1,0.32,2.7,11,MOHK_D10,MHK
2025-10-01,6.9,0.3,2.5,12,MOHK_D10,MHK
