Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-09-17,20.6,9.02,104.6,0,MOHK_D10,MHK
2025-09-17,20.5,9.07,104.8,1,MOHK_D10,MHK
2025-09-17,20.4,9,103.7,2,MOHK_D10,MHK
2025-09-17,20.3,9.01,103.8,3,MOHK_D10,MHK
2025-09-17,20.2,9.02,103.7,4,MOHK_D10,MHK
2025-09-17,19.5,9,102.1,5,MOHK_D10,MHK
2025-09-17,14.7,10.49,107.7,6,MOHK_D10,MHK
2025-09-17,12.5,0.96,97.3,7,MOHK_D10,MHK
2025-09-17,10.3,7.3,67.7,8,MOHK_D10,MHK
2025-09-17,8.2,3.37,29.8,9,MOHK_D10,MHK
2025-09-17,7.3,0.39,3.4,10,MOHK_D10,MHK
2025-09-17,6.9,0.3,2.5,11,MOHK_D10,MHK
2025-09-17,6.7,0.29,2.4,12,MOHK_D10,MHK
