Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-02-04,1.5,12.23,91.3,0,MOHK_D10,MHK
2025-02-04,2.1,11.94,90.7,1,MOHK_D10,MHK
2025-02-04,2.1,11.93,90.5,2,MOHK_D10,MHK
2025-02-04,2.1,11.9,90.3,3,MOHK_D10,MHK
2025-02-04,2,11.95,90.5,4,MOHK_D10,MHK
2025-02-04,2.1,11.87,90,5,MOHK_D10,MHK
2025-02-04,2.1,11.77,89.2,6,MOHK_D10,MHK
2025-02-04,2.1,1.66,88.4,7,MOHK_D10,MHK
2025-02-04,2.2,11,83.7,8,MOHK_D10,MHK
2025-02-04,2.4,10.2,78.1,9,MOHK_D10,MHK
2025-02-04,2.8,9.71,75.2,10,MOHK_D10,MHK
2025-02-04,3.1,9.17,71.5,11,MOHK_D10,MHK
2025-02-04,3.3,7.9,61.9,12,MOHK_D10,MHK
