Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-07-30,26.9,8.07,105.5,0,MOHK_D10,MHK
2025-07-30,26.8,8.01,104.7,1,MOHK_D10,MHK
2025-07-30,26.4,8.21,106.4,2,MOHK_D10,MHK
2025-07-30,25.5,8.16,104.2,3,MOHK_D10,MHK
2025-07-30,21.3,10.17,126.2,4,MOHK_D10,MHK
2025-07-30,16.2,12.31,130.8,5,MOHK_D10,MHK
2025-07-30,13.6,12.35,124.1,6,MOHK_D10,MHK
2025-07-30,10.8,11.6,109.3,7,MOHK_D10,MHK
2025-07-30,9.1,10.97,99.3,8,MOHK_D10,MHK
2025-07-30,7.7,7.55,66,9,MOHK_D10,MHK
2025-07-30,7,3.85,33.1,10,MOHK_D10,MHK
2025-07-30,6.5,0.84,7.1,11,MOHK_D10,MHK
2025-07-30,6.3,0.34,2.9,12,MOHK_D10,MHK
