Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-09-18,21,9.38,109.5,0,MHK
2024-09-18,21,9.44,110.3,1,MHK
2024-09-18,20.4,10.08,117.5,2,MHK
2024-09-18,20.8,10.31,120,3,MHK
2024-09-18,20.5,10.03,116,4,MHK
2024-09-18,14.8,9.1,103.7,5,MHK
2024-09-18,17.1,9.14,48.6,6,MHK
2024-09-18,13.1,8.05,81.1,7,MHK
2024-09-18,11.8,7.29,70.1,8,MHK
2024-09-18,9.5,4.83,44,9,MHK
2024-09-18,7.8,1.11,9.7,10,MHK
2024-09-18,6.4,0.32,2.7,11,MHK
2024-09-18,6.5,0.27,2.3,12,MHK
