Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2020-02-25,0.4,13.76,99.6,0,MOHK_D10,MHK
2020-02-25,1.8,12.36,92.9,1,MOHK_D10,MHK
2020-02-25,2.1,11.75,89.1,2,MOHK_D10,MHK
2020-02-25,2.1,11.63,88.3,3,MOHK_D10,MHK
2020-02-25,2.2,11.61,88.2,4,MOHK_D10,MHK
2020-02-25,2.2,11.58,88,5,MOHK_D10,MHK
2020-02-25,2.2,11.35,86.3,6,MOHK_D10,MHK
2020-02-25,2.3,11,83.9,7,MOHK_D10,MHK
2020-02-25,2.4,10.57,80.7,8,MOHK_D10,MHK
2020-02-25,2.6,10.06,77.2,9,MOHK_D10,MHK
2020-02-25,2.9,9.21,71.3,10,MOHK_D10,MHK
2020-02-25,3.1,8.87,69,11,MOHK_D10,MHK
2020-02-25,3.3,8.6,67.3,12,MOHK_D10,MHK
