Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2016-07-25,27.3,7.9,104,0,MOHK_D10,MHK
2016-07-25,26.8,7.89,103.1,1,MOHK_D10,MHK
2016-07-25,26.3,7.59,98.3,2,MOHK_D10,MHK
2016-07-25,24.7,8.47,106.5,3,MOHK_D10,MHK
2016-07-25,20,10.26,117.8,4,MOHK_D10,MHK
2016-07-25,15.8,11.29,119,5,MOHK_D10,MHK
2016-07-25,12.7,11.9,117,6,MOHK_D10,MHK
2016-07-25,10.2,11.83,110,7,MOHK_D10,MHK
2016-07-25,8.9,11.2,100.8,8,MOHK_D10,MHK
2016-07-25,7.8,8.98,78.7,9,MOHK_D10,MHK
2016-07-25,6.8,4.47,38.2,10,MOHK_D10,MHK
2016-07-25,6.5,3.32,28.2,11,MOHK_D10,MHK
2016-07-25,6.3,0.99,8.4,12,MOHK_D10,MHK
