Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2011-06-25,22.4,8.96,108,0,MOHK_D10,MHK
2011-06-25,21.9,9.13,108.9,1,MOHK_D10,MHK
2011-06-25,19.9,10.09,115.6,2,MOHK_D10,MHK
2011-06-25,17.2,10.61,115.2,3,MOHK_D10,MHK
2011-06-25,14.6,11.29,116,4,MOHK_D10,MHK
2011-06-25,12.3,12.4,121,5,MOHK_D10,MHK
2011-06-25,9.9,11.38,105,6,MOHK_D10,MHK
2011-06-25,8.6,10.18,91,7,MOHK_D10,MHK
2011-06-25,7.7,8.69,76,8,MOHK_D10,MHK
2011-06-25,7.1,8.49,73.1,9,MOHK_D10,MHK
2011-06-25,6.6,7.06,60.1,10,MOHK_D10,MHK
2011-06-25,6.3,5.83,49.3,11,MOHK_D10,MHK
2011-06-25,6.1,3.18,26.7,12,MOHK_D10,MHK
